Rank,Event,Swim Time,Name,Gender,Country,Meet,Swim Date,Height,Weight
1,100 FL LCM,49.45,Caeleb Dressel,Male,United States,2020 Tokyo Olympics,07/31/2021,191 cm,88 kg
2,100 FL LCM,49.68,Kristóf Milák,Male,Hungary,2020 Tokyo Olympics,07/31/2021,190 cm,82 kg
3,100 FL LCM,50.39,Joseph Schooling,Male,Singapore,2016 Rio Olympics,08/12/2016,184 cm,74 kg
4,100 FL LCM,51.14,Chad le Clos,Male,South Africa,2016 Rio Olympics,08/12/2016,185 cm,84 kg
5,100 FL LCM,55.59,Maggie Mac Neil,Female,Canada,2020 Tokyo Olympics,07/26/2021,168 cm,60 kg
6,100 FL LCM,55.48,Sarah Sjöström,Female,Sweden,2016 Rio Olympics,08/07/2016,182 cm,69 kg
7,100 FL LCM,55.98,Dana Vollmer,Female,United States,2012 London Olympics,07/29/2012,183 cm,65 kg
